"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-4.37625693313058,0.689783010568199,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.631665488399818,-1.91016670695347,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.493423054299996,1.07143876322704,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.30861424437936,6.00539449223476,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.04938601485665,-0.755452778253975,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.141639252819373,0.87762114771801,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0194379889148017,-0.363600578222694,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.894184360585854,-6.32165523997349,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.441259091414764,-0.942816343222084,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.67502056590493,-0.533144619379463,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.423510918698953,-0.528750088129463,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.273584333874538,2.83143762120205,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.723578681864097,-1.80591269961399,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.0162279509681,-0.240919288311424,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-3.20937704078133,5.60770085820156,"Late"
"MKI67+ Proliferating","GSE290578","Normal 3rd trimester / Preeclampsia",3.77288485535209,-6.71618648997349,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.603581404008224,-3.07313200465244,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.118278751454995,2.07685390480953,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.128775080360725,2.12551251419979,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.75186883441384,5.84262803563076,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.349330765821292,-2.0306143426041,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.490984810211017,0.187509713630853,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",1.09577942856376,-1.40340396395725,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.44276713363106,5.15405705937344,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.386498580060647,-1.55176302424473,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.293673226915048,-1.5586255454163,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.18317972651894,-1.40639373293919,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.0535326398236016,-1.41649731627506,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",1.37001682289665,2.21713951596218,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.171985124863937,3.13650587567287,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0945607923644324,-2.62991305819553,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.81513844958718,-1.1779042147736,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.21092092029031,4.80299905308681,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.302152817763641,-3.13072391978306,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-2.75762700072701,-1.36712380877537,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.490061936594798,-2.17063495150608,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.253086576543496,1.38578048714596,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.92105673781808,-1.25446471205753,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.120562275566413,-0.803292717848243,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.299138555608437,-1.23591228953403,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.412863528050735,-0.0762678348163983,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.665183315358804,-6.3992666863541,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.370130460636943,-0.80184480181736,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.401686439595864,1.89411762722927,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.313882300935433,0.557957474078713,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.37569756915073,2.94167593487698,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-3.04089402190621,-0.761104371462288,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.552015563167884,-1.73521944514317,"Late"
