"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SLC23A2",0.509301376277169,0.282012025042218,0.105,0.102,1,"SLC23A2"
"TMEM14C",0.509935302308453,-0.203626853233061,0.492,0.494,1,"TMEM14C"
"FRMD8",0.510389816068812,0.37233128835145,0.121,0.12,1,"FRMD8"
"GLRX2",0.511499145825943,-0.32049243451666,0.12,0.127,1,"GLRX2"
"SLC25A19",0.511508896929019,-0.0405511941657901,0.102,0.098,1,"SLC25A19"
"TTYH3",0.511774872880471,-0.126618996146991,0.604,0.594,1,"TTYH3"
"OSTM1",0.512016216765733,-0.0374654478166426,0.353,0.353,1,"OSTM1"
"SLC7A7",0.513117826985337,-0.161520282470003,0.358,0.359,1,"SLC7A7"
"IP6K2",0.513246163387248,-0.0530041651605906,0.155,0.165,1,"IP6K2"
"ACOT9",0.513587507820275,0.0817398267506833,0.178,0.177,1,"ACOT9"
"UBR5",0.514716804189507,0.192106338588857,0.211,0.212,1,"UBR5"
"GOLGA4",0.514864232976276,-0.0507828706100697,0.622,0.621,1,"GOLGA4"
"PPP6C",0.516596934454944,0.0102534631181564,0.191,0.19,1,"PPP6C"
"TTC38",0.516696428232175,-0.0538257699309417,0.111,0.118,1,"TTC38"
"PXN",0.517222101962765,-0.123624882927174,0.255,0.268,1,"PXN"
