"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BTG3",0.00827957369566621,0.352860247945055,0.104,0.091,1
"PATL1",0.00828306466593022,0.31092801786902,0.228,0.215,1
"PACS1",0.00828343768843634,0.257662294282685,0.199,0.183,1
"MRPL15",0.00838807536097232,-0.61327528228974,0.115,0.13,1
"ADK",0.00848316229384381,-0.0825108446067435,0.094,0.11,1
"PPP2R2A",0.00861583969848231,0.0385706152114226,0.225,0.254,1
"LUC7L2",0.00867676044568926,0.153203559525017,0.247,0.231,1
"GTF2F1",0.00872788032135715,0.103816346817427,0.236,0.219,1
"RPS6KA4",0.00876080210581798,0.0798934508099747,0.13,0.115,1
"JAK2",0.0088171639947719,0.217913612494475,0.365,0.36,1
"FBXO3",0.00887466382197276,-0.161797885816724,0.085,0.1,1
"EDEM2",0.00894387245350932,-0.227911039337995,0.159,0.178,1
"IDH2",0.00903022345399188,-0.207361975315295,0.247,0.271,1
"SNX29",0.00906486974767321,0.316155969392314,0.369,0.365,1
"GMPR2",0.0090864606895977,0.0649115470946364,0.124,0.107,1
"GIGYF1",0.00923920114237673,0.14626905130144,0.139,0.162,1
"NOSIP",0.00924758134459877,0.0131851984460113,0.205,0.187,1
"MIF4GD",0.00934640741102685,-0.00383288614507682,0.136,0.12,1
"SNHG12",0.00935875945598481,0.0303795551032419,0.292,0.315,1
"TBC1D10B",0.00944949734591968,0.160828898559277,0.135,0.12,1
"RNF20",0.0094925398639841,0.0422538181850192,0.144,0.128,1
"CLPTM1",0.00954672324229579,0.0252900501589158,0.242,0.224,1
"GTF2A2",0.0096046930229002,-0.34712208755878,0.257,0.276,1
"RSAD2",0.00963094612188609,-0.15096354164352,0.275,0.304,1
"TATDN3",0.0096472172873882,-0.2067546411126,0.129,0.147,1
"PLCL1",0.0097607696840847,-0.0274234951161108,0.094,0.11,1
"ATF7IP",0.00997058265486469,0.213580810699006,0.398,0.395,1
"KAT6B",0.00997522508682915,0.326024303692639,0.162,0.147,1
"CACUL1",0.0100059304890377,-0.0738193293545215,0.278,0.308,1
"RBM3",0.0100986105892058,-0.189536144760537,0.463,0.5,1
"NUBP2",0.0101985656620369,-0.367348840471031,0.116,0.131,1
"CHAMP1",0.0102055569375952,-0.000821061434867598,0.102,0.087,1
